id,body,created_at
313938514,"To partially fix this, you could do:

```python
a = np.cumsum(x)
a *= np.sum(x) / a[-1]
```

Which would correct the final value, at the expense of the immediate values.

A better option would be to split the summation into segments, using the more accurate method for between-segment sums, for instance calculating:
```python
a = np.cumsum(x)
```
as
```python
s = 0
a = np.empty(len(x))
for i in range(0, len(x), 4):
    a[i:i+4] = s + np.cumsum(x[i:i+4])
    s += a[i:i+4]
```

I actually think this would be a reasonable feature request for numpy - if we do pairwise summation for `.add.reduce`, I think adding a special case for `.add.accumulate` is reasonable.

Or perhaps `accumulate` should gain a `chunking` argument, to apply this type of precision improvement to any `ufunc` with a reorderable-none identity",2017-07-09T18:51:38Z
505691219,"> how is it possible that numpy does not have a `matrix_transpose` function

I hid an undocumented one at `np.linalg.linalg.transpose` that uses the same broadcasting rules as the other linalg functions. You're welcome ;)",2019-06-26T02:24:17Z
511477435,"Another hint: If you use `numpy.add.at`, a much faster alternative is `numpy.bincount` with its optional `weight` argument:
```python
import perfplot
import numpy

numpy.random.seed(0)

def numpy_add_at(data):
    a, i = data
    out0 = numpy.zeros(1000)
    numpy.add.at(out0, i, a)
    return out0

def numpy_bincount(data):
    a, i = data
    return numpy.bincount(i, weights=a, minlength=1000)

perfplot.show(
    setup=lambda n: (numpy.random.rand(n), numpy.random.randint(0, 1000, n)),
    kernels=[numpy_add_at, numpy_bincount],
    n_range=[2 ** k for k in range(24)],
)
```
![out](https://user-images.githubusercontent.com/181628/109859400-35b83700-7c5d-11eb-99a6-a1f609c012e9.png)",2019-07-15T16:40:19Z
604571385,"> It seemed to me the main change is that resids previously had (in some sense) a keepdims in there, while now it does not? I.e. you do not add a dimension of size 1 at the end anymore.

It's a little worse than that. The old behavior was to return any of:

* A result of shape `(0,)` for an underconstrained solution (for any input shape)
* A result of shape `(1,)` for a well-constrained solution with input shape (M,)
* A result of shape `(K,)` for a well-constrained solution with input shape (M, K)

The new behavior is

* A result of shape `(..., N,)` for input shape `(..., N, M)`
* A result of shape `()` for input shape `(M,)`

So there are two incompatible changes here, not just one.",2020-03-26T17:35:40Z
671426864,"Here:

```
Python 3.10.0a0 (heads/master:39042e0, Aug 10 2020, 09:38:02) 
[GCC 8.3.0] on linux
Type ""help"", ""copyright"", ""credits"" or ""license"" for more information.
>>> import numpy
>>> import sys
>>> numpy.__version__
'1.19.1'
>>> sys.version
'3.10.0a0 (heads/master:39042e0, Aug 10 2020, 09:38:02) \n[GCC 8.3.0]'
>>> 
```",2020-08-10T15:32:49Z
685809035,"Sorry, I retract my retraction. That failure comes from 1.17.0. In master, it _is_ allowed:
```python
>>> a = np.array([np.zeros((3, 2)), np.zeros((3, 3))], dtype=object)
>>> a
array(list([array([[0., 0.],
       [0., 0.],
       [0., 0.]]), array([[0., 0., 0.],
       [0., 0., 0.],
       [0., 0., 0.]])]), dtype=object)
>>> a.shape
()  # huh?
>>> np.__version__
'1.20.0.dev0+5dbc66e'
```
but frankly the output is nonsense.",2020-09-02T15:22:57Z
685815029,"Hmmm, yeah, although I think that one is likely just an independent bug, the discovered shape is incorrect to begin with.",2020-09-02T15:31:41Z
685817615,"Hmm, ok, what we could do (or argue as being correct), is that the shape here should always be `(2,)` when `dtype=object`.  But that is also a bit strange, it would resolve all of these issues in a probably even decent way, but is a bit complicated by itself.

> Mind creating a new issue for it?

I am looking if I can find some obvious thing right now... if not, yes.  I think the shape should be discovered as `(2, 3)` here probably, and then we just get the old result.",2020-09-02T15:35:35Z
685824689,"> Mind creating a new issue for it?

I am looking at it right now, my shape updating code was pretty old, and required some more love. I guess the code coverage looked like the case was covered but it wasn't. (there was a simple sign error)

But I am also looking whether I can make the warning distinguish the case where `dtype=object` will definitely not help in the future (i.e. if an array would have to be split into sequences).",2020-09-02T15:46:47Z
691932282,"Just this comment left to address: https://github.com/numpy/numpy/pull/16987#discussion_r487152916

I cleaned up the whitespace myself",2020-09-14T09:19:37Z
