id,body,created_at
309970195,It's surprising that functional components are not `PureComponent` by default...,2017-06-21T05:48:30Z
368877149,"Speaking of workarounds.
I've just added this hack to my jest snapshot tests.
```
ReactDOM.createPortal = node => node
```",2018-02-27T13:38:42Z
523610642,+1 on bringing back some version of this feature that enables a quick high-level view of re-renders - even for re-renders that are a result of when we update context.,2019-08-21T19:17:47Z
557217372,"```js
return React.cloneElement(child, {
  innerRef: node =>
    node ? setRefs.set(child.key, node) : setRefs.delete(child.key)
});
```
You're passing the ref via `innerRef` prop. It should be passed via `ref`.
```js
return React.cloneElement(child, {
  ref: node =>
    node ? setRefs.set(child.key, node) : setRefs.delete(child.key)
});
```

**Edited** by @bvaughn to fix typo.",2019-11-21T18:39:08Z
586544137,This warning is absolute idiocy.,2020-02-15T02:20:54Z
615871428,"This pull request is automatically built and testable in [CodeSandbox](https://codesandbox.io).

  To see build info of the built libraries, click [here](https://ci.codesandbox.io/status/facebook/react/pr/18670/builds/118927) or the icon next to each commit SHA.

Latest deployment of this branch, based on commit 9decbb0975f2ef981437610094a4932a996924b0:

|Sandbox| Source |
|--|--|
|[React](https://codesandbox.io/s/react-ih6ie)| Configuration |
",2020-04-18T13:27:27Z
615872314,"
<!--
  0 failure: 
  1 warning:  Could not find bu...
  
  1 markdown notices
  DangerID: danger-id-stable;
-->


<table>
  <thead>
    <tr>
      <th width=""50""></th>
      <th width=""100%"" data-danger-table=""true"">Warnings</th>
    </tr>
  </thead>
  <tbody><tr>
      <td>:warning:</td>
      <td>Could not find build artifacts for base commit: 58c895e59cd2822a9a7a67606d5fe7da5e09ba2a</td>
    </tr>
  </tbody>
</table>


## Size changes (stable)
<p align=""right"">
  Generated by :no_entry_sign: <a href=""https://danger.systems/js"">dangerJS</a> against 9decbb0975f2ef981437610094a4932a996924b0
</p>
",2020-04-18T13:31:14Z
615872453,"
<!--
  0 failure: 
  1 warning:  Could not find bu...
  
  1 markdown notices
  DangerID: danger-id-experimental;
-->


<table>
  <thead>
    <tr>
      <th width=""50""></th>
      <th width=""100%"" data-danger-table=""true"">Warnings</th>
    </tr>
  </thead>
  <tbody><tr>
      <td>:warning:</td>
      <td>Could not find build artifacts for base commit: 58c895e59cd2822a9a7a67606d5fe7da5e09ba2a</td>
    </tr>
  </tbody>
</table>


## Size changes (experimental)
<p align=""right"">
  Generated by :no_entry_sign: <a href=""https://danger.systems/js"">dangerJS</a> against 9decbb0975f2ef981437610094a4932a996924b0
</p>
",2020-04-18T13:31:52Z
619562192,"
<!--
  0 failure: 
  0 warning: 
  
  1 markdown notices
  DangerID: danger-id-stable;
-->




Comparing: 87b3ada89dc83c88a89ff1b599b0f39e3c49cc32...fe5e30f2f139bb04e672fbaacb33ea38f301fcef

## Critical size changes

Includes critical production bundles, as well as any change greater than 2%:


  | Name | +/- | Base | Current | +/- gzip | Base gzip | Current gzip |
  | ---- | --- | ---- | ------- | -------- | --------- | ------------ |
| oss-stable/react-dom/cjs/react-dom.production.min.js | **=** | 126.82 kB | 126.82 kB | = | 40.61 kB | 40.61 kB
| oss-experimental/react-dom/cjs/react-dom.production.min.js | **=** | 129.64 kB | 129.64 kB | = | 41.57 kB | 41.57 kB
| facebook-www/ReactDOM-prod.classic.js | **=** | 403.34 kB | 403.34 kB | = | 74.63 kB | 74.63 kB
| facebook-www/ReactDOM-prod.modern.js | **=** | 392.04 kB | 392.04 kB | = | 72.91 kB | 72.91 kB
| facebook-www/ReactDOMForked-prod.classic.js | **=** | 403.34 kB | 403.34 kB | = | 74.63 kB | 74.63 kB

## Significant size changes

Includes any change greater than 0.2%:

(No significant changes)

<p align=""right"">
  Generated by :no_entry_sign: <a href=""https://danger.systems/js"">dangerJS</a> against fe5e30f2f139bb04e672fbaacb33ea38f301fcef
</p>
",2020-04-26T14:35:50Z
629130569,"
<!--
  0 failure: 
  0 warning: 
  
  1 markdown notices
  DangerID: danger-id-stable;
-->




Comparing: 9d17b562ba427adb1bced98f4231406ec573c422...849c264f50c5cd79607fce38b8ca2998773ecff4

## Critical size changes

Includes critical production bundles, as well as any change greater than 2%:


  | Name | +/- | Base | Current | +/- gzip | Base gzip | Current gzip |
  | ---- | --- | ---- | ------- | -------- | --------- | ------------ |
| oss-stable/react-dom/cjs/react-dom.production.min.js | **=** | 127.29 kB | 127.29 kB | = | 40.81 kB | 40.81 kB
| oss-experimental/react-dom/cjs/react-dom.production.min.js | **=** | 130.11 kB | 130.11 kB | = | 41.75 kB | 41.75 kB
| facebook-www/ReactDOM-prod.classic.js | **=** | 404.72 kB | 404.72 kB | = | 74.90 kB | 74.90 kB
| facebook-www/ReactDOM-prod.modern.js | **=** | 393.27 kB | 393.27 kB | = | 73.09 kB | 73.09 kB
| facebook-www/ReactDOMForked-prod.classic.js | **=** | 404.72 kB | 404.72 kB | = | 74.90 kB | 74.90 kB

## Significant size changes

Includes any change greater than 0.2%:


<details>
<summary>Expand to show</summary>

  | Name | +/- | Base | Current | +/- gzip | Base gzip | Current gzip |
  | ---- | --- | ---- | ------- | -------- | --------- | ------------ |
| oss-experimental/react/cjs/react-unstable-shared-subset.production.min.js | **+1.00%** | 6.53 kB | 6.59 kB | +0.82% | 2.68 kB | 2.70 kB
| oss-stable-semver/react/cjs/react.production.min.js | **+0.92%** | 7.04 kB | 7.11 kB | +0.78% | 2.81 kB | 2.84 kB
| oss-stable/react/cjs/react.production.min.js | **+0.92%** | 7.04 kB | 7.11 kB | +0.78% | 2.81 kB | 2.84 kB
| oss-experimental/react/cjs/react.production.min.js | **+0.86%** | 7.56 kB | 7.63 kB | +0.54% | 2.94 kB | 2.96 kB
| facebook-react-native/react/cjs/React-prod.js | **+0.85%** | 16.66 kB | 16.80 kB | +1.12% | 4.28 kB | 4.33 kB
| facebook-react-native/react/cjs/React-profiling.js | **+0.85%** | 16.66 kB | 16.80 kB | +1.12% | 4.28 kB | 4.33 kB
| facebook-www/React-prod.modern.js | **+0.74%** | 16.82 kB | 16.94 kB | +0.71% | 4.36 kB | 4.39 kB
| facebook-www/React-profiling.modern.js | **+0.74%** | 16.82 kB | 16.94 kB | +0.71% | 4.36 kB | 4.39 kB
| facebook-www/React-prod.classic.js | **+0.73%** | 16.96 kB | 17.09 kB | +0.80% | 4.40 kB | 4.43 kB
| facebook-www/React-profiling.classic.js | **+0.73%** | 16.96 kB | 17.09 kB | +0.80% | 4.40 kB | 4.43 kB
| oss-stable-semver/react/umd/react.profiling.min.js | **+0.60%** | 10.93 kB | 10.99 kB | +0.36% | 4.41 kB | 4.43 kB
| oss-stable/react/umd/react.profiling.min.js | **+0.60%** | 10.93 kB | 10.99 kB | +0.36% | 4.41 kB | 4.43 kB
| oss-stable-semver/react/umd/react.production.min.js | **+0.60%** | 10.93 kB | 10.99 kB | +0.41% | 4.41 kB | 4.43 kB
| oss-stable/react/umd/react.production.min.js | **+0.60%** | 10.93 kB | 10.99 kB | +0.41% | 4.41 kB | 4.43 kB
| oss-experimental/react/umd/react.profiling.min.js | **+0.57%** | 11.39 kB | 11.45 kB | +0.29% | 4.54 kB | 4.56 kB
| oss-experimental/react/umd/react.production.min.js | **+0.57%** | 11.39 kB | 11.45 kB | +0.31% | 4.54 kB | 4.56 kB
| oss-experimental/react/cjs/react-unstable-shared-subset.development.js | **+0.27%** | 68.89 kB | 69.08 kB | +0.28% | 18.66 kB | 18.71 kB
| oss-stable-semver/react/cjs/react.development.js | **+0.25%** | 74.50 kB | 74.68 kB | +0.22% | 20.02 kB | 20.06 kB
| oss-stable/react/cjs/react.development.js | **+0.25%** | 74.50 kB | 74.68 kB | +0.22% | 20.02 kB | 20.06 kB
| oss-experimental/react/cjs/react.development.js | **+0.25%** | 74.97 kB | 75.15 kB | +0.21% | 20.05 kB | 20.09 kB
| oss-stable-semver/react/umd/react.development.js | **+0.20%** | 97.25 kB | 97.45 kB | +0.20% | 25.02 kB | 25.07 kB
| oss-stable/react/umd/react.development.js | **+0.20%** | 97.25 kB | 97.45 kB | +0.20% | 25.02 kB | 25.07 kB
| oss-experimental/react/umd/react.development.js | **+0.20%** | 97.74 kB | 97.94 kB | +0.16% | 25.07 kB | 25.11 kB
</details>


<p align=""right"">
  Generated by :no_entry_sign: <a href=""https://danger.systems/js"">dangerJS</a> against 849c264f50c5cd79607fce38b8ca2998773ecff4
</p>
",2020-05-15T09:22:20Z
639474427,"As a workaround to the problem of not being able to call a hook conditionally, I am using the following workaround which wraps the hook into a conditional component call via a render prop:

https://unsplash.com/blog/calling-react-hooks-conditionally-dynamically-using-render-props/

```tsx
const RenderFunction = ({ children }) => children();

const MyComponent = ({ shouldRenderHook }) =>
  shouldRenderHook ? (
    <RenderFunction>
      {() => {
        // `react-hooks/rules-of-hooks` error:
        // React Hook ""React.useState"" cannot be called inside a callback. React Hooks must be
        // called in a React function component or a custom React Hook function.
        const [state, setState] = React.useState(0);
        return (
          <div>
            State: {state}
            <button onClick={() => setState(currentState => currentState + 1)}>
              Increment
            </button>
          </div>
        );
      }}
    </RenderFunction>
  ) : (
    <div>Rendering the hook shortly…</div>
  );
```

https://stackblitz.com/edit/react-conditional-hooks-simple

IIUC, this is perfectly safe because the `children` render prop callback is called every time the `RenderFunction` component is called, yet the ESLint rule throws an error.

It would be great if there was a way to tell the ESLint rules that this is safe.

For context: I understand that an alternative workaround would be just to extract another component, but that is not always desirable because then you lose access to the component's closure, which means you have to drill things down.

",2020-06-05T13:18:03Z
648752366,"### For calling async inside useEffect you can use IEFE function
```javascript
useEffect(() => {
    (async () => {
         await asyncCall() 
    })()
}, [])
```
#### ```useEffect``` ```return``` type must be a ```function``` or nothing ```undefined```.  putting ```async``` on ```useEffect``` make it to return a ```Promise``` which is not a function",2020-06-24T11:01:50Z
657063830,"
<!--
  0 failure: 
  0 warning: 
  
  1 markdown notices
  DangerID: danger-id-stable;
-->




Comparing: 2442d988eff0943b557bcc61cf4e0062146b6948...9a0e80e963dcaf89d8db749a5b856e58efe91426

## Critical size changes

Includes critical production bundles, as well as any change greater than 2%:


  | Name | +/- | Base | Current | +/- gzip | Base gzip | Current gzip |
  | ---- | --- | ---- | ------- | -------- | --------- | ------------ |
| oss-stable/react-dom/cjs/react-dom.production.min.js | **=** | 127.41 kB | 127.41 kB | = | 40.83 kB | 40.83 kB
| oss-experimental/react-dom/cjs/react-dom.production.min.js | **=** | 130.22 kB | 130.22 kB | = | 41.74 kB | 41.74 kB
| facebook-www/ReactDOM-prod.classic.js | **=** | 405.65 kB | 405.65 kB | = | 74.99 kB | 74.99 kB
| facebook-www/ReactDOM-prod.modern.js | **=** | 394.08 kB | 394.08 kB | = | 73.22 kB | 73.22 kB
| facebook-www/ReactDOMForked-prod.classic.js | **=** | 405.65 kB | 405.65 kB | = | 75.00 kB | 74.99 kB

## Significant size changes

Includes any change greater than 0.2%:

(No significant changes)

<p align=""right"">
  Generated by :no_entry_sign: <a href=""https://danger.systems/js"">dangerJS</a> against 9a0e80e963dcaf89d8db749a5b856e58efe91426
</p>
",2020-07-11T13:38:38Z
671995866,"
<!--
  0 failure: 
  0 warning: 
  
  1 markdown notices
  DangerID: danger-id-stable;
-->




Comparing: 9212d994ba939f20a04220a61e9776b488381596...5f414e79a0957a33d9d07d6b94a82b06a732d503

## Critical size changes

Includes critical production bundles, as well as any change greater than 2%:


  | Name | +/- | Base | Current | +/- gzip | Base gzip | Current gzip |
  | ---- | --- | ---- | ------- | -------- | --------- | ------------ |
| oss-stable/react-dom/cjs/react-dom.production.min.js | **+0.01%** | 127.08 kB | 127.09 kB | = | 40.74 kB | 40.74 kB
| oss-experimental/react-dom/cjs/react-dom.production.min.js | **+0.01%** | 129.89 kB | 129.90 kB | = | 41.67 kB | 41.67 kB
| facebook-www/ReactDOM-prod.classic.js | **+0.04%** | 405.00 kB | 405.15 kB | +0.01% | 74.92 kB | 74.93 kB
| facebook-www/ReactDOM-prod.modern.js | **+0.04%** | 393.35 kB | 393.50 kB | +0.02% | 73.10 kB | 73.12 kB
| facebook-www/ReactDOMForked-prod.classic.js | **+0.04%** | 405.00 kB | 405.15 kB | +0.01% | 74.93 kB | 74.93 kB

## Significant size changes

Includes any change greater than 0.2%:


<details>
<summary>Expand to show</summary>

  | Name | +/- | Base | Current | +/- gzip | Base gzip | Current gzip |
  | ---- | --- | ---- | ------- | -------- | --------- | ------------ |
| facebook-www/ReactDOMServer-prod.classic.js | **+0.84%** | 48.21 kB | 48.61 kB | +0.82% | 11.24 kB | 11.33 kB
| facebook-www/ReactDOMServer-prod.modern.js | **+0.54%** | 72.24 kB | 72.62 kB | +0.59% | 14.86 kB | 14.95 kB
</details>


<p align=""right"">
  Generated by :no_entry_sign: <a href=""https://danger.systems/js"">dangerJS</a> against 5f414e79a0957a33d9d07d6b94a82b06a732d503
</p>
",2020-08-11T14:55:00Z
674264500,"
<!--
  0 failure: 
  0 warning: 
  
  1 markdown notices
  DangerID: danger-id-stable;
-->




Comparing: 483358c38f8623358dd44a3e57476bc02e6357bc...09f8286d7a5041aac3e1e51eb86da943b8ba12c9

## Critical size changes

Includes critical production bundles, as well as any change greater than 2%:


  | Name | +/- | Base | Current | +/- gzip | Base gzip | Current gzip |
  | ---- | --- | ---- | ------- | -------- | --------- | ------------ |
| oss-stable/react-dom/cjs/react-dom.production.min.js | **=** | 122.34 kB | 122.34 kB | = | 39.40 kB | 39.40 kB
| oss-experimental/react-dom/cjs/react-dom.production.min.js | **=** | 128.92 kB | 128.92 kB | = | 41.46 kB | 41.46 kB
| facebook-www/ReactDOM-prod.classic.js | **=** | 404.69 kB | 404.69 kB | = | 75.17 kB | 75.17 kB
| facebook-www/ReactDOM-prod.modern.js | **=** | 393.04 kB | 393.04 kB | = | 73.27 kB | 73.27 kB
| facebook-www/ReactDOMForked-prod.classic.js | **=** | 404.70 kB | 404.70 kB | = | 75.17 kB | 75.17 kB

## Significant size changes

Includes any change greater than 0.2%:

(No significant changes)

<p align=""right"">
  Generated by :no_entry_sign: <a href=""https://danger.systems/js"">dangerJS</a> against 09f8286d7a5041aac3e1e51eb86da943b8ba12c9
</p>
",2020-08-14T20:42:53Z
696081106,"I did something quite similar, Can't remember where I saw the code originally or if I rewrote something from SO

I still think building this into react would be very useful.

```
function useIsFirstRender() {
  const isRenderRef = useRef(true);
  useEffect(() => {
    isRenderRef.current = false;
  }, []);
  return isRenderRef.current;
}

export default useIsFirstRender;
```
",2020-09-21T12:26:45Z
703347085,"
<!--
  0 failure: 
  0 warning: 
  
  1 markdown notices
  DangerID: danger-id-stable;
-->




Comparing: 87b3ada89dc83c88a89ff1b599b0f39e3c49cc32...d3947e86c39f45bacfc59ecd8280a41e8d68eb2f

## Critical size changes

Includes critical production bundles, as well as any change greater than 2%:


  | Name | +/- | Base | Current | +/- gzip | Base gzip | Current gzip |
  | ---- | --- | ---- | ------- | -------- | --------- | ------------ |
| oss-stable/react-dom/cjs/react-dom.production.min.js | **=** | 126.82 kB | 126.82 kB | = | 40.61 kB | 40.61 kB
| oss-experimental/react-dom/cjs/react-dom.production.min.js | **=** | 129.64 kB | 129.64 kB | = | 41.57 kB | 41.57 kB
| facebook-www/ReactDOM-prod.classic.js | **=** | 403.34 kB | 403.34 kB | = | 74.63 kB | 74.63 kB
| facebook-www/ReactDOM-prod.modern.js | **=** | 392.04 kB | 392.04 kB | = | 72.91 kB | 72.91 kB
| facebook-www/ReactDOMForked-prod.classic.js | **=** | 403.34 kB | 403.34 kB | = | 74.63 kB | 74.63 kB

## Significant size changes

Includes any change greater than 0.2%:

(No significant changes)

<p align=""right"">
  Generated by :no_entry_sign: <a href=""https://danger.systems/js"">dangerJS</a> against d3947e86c39f45bacfc59ecd8280a41e8d68eb2f
</p>
",2020-10-05T01:10:44Z
708212345,"I want to point out that from my experience, people often fall into one of the following three categories:
1. people who don't have any idea of what `memo` is and never use it
2. people who kinda know it helps with performance and uses `memo` almost everywhere
3. people who try adding it in places that are expected to benefit from it

All of them usually forget to memorize some super important component here and there (the website's `Header` is a classic example) or memoize a component and pass it an always invalidated prop like `style={{width: '100%'}}` so it renders again and again.

Sometimes these places render many components, have logic and side effects. Sometimes they are rendered very often.

I think the biggest benefit of making everything pure is ""keeping it simple"" by removing this feature altogether, even though, in some cases, it would make the application a little slower.",2020-10-14T07:19:42Z
