id,body,created_at
290098092,"Beware that if `""editor.hover"": false` is used and you intend to use `Ctrl+k, Ctrl+i` to force tooltip display at caret position, you may encounter an error that will prevent tooltip to display in any case after **VS Code** has restarted. 

Error will be `Cannot read property 'startShowingAt' of undefined`
To fix this, you have no choice but set `""editor.hover"": true,` and restart **Code**.

Thus `""editor.hover"": false` is far from being ideal since it will break the tooltips even when you try to force them to show up.

~~Well it is the case for my setup after Code has restarted: v1.10.2 on Win 10 x64 pro.~~

## Edit : this is fixed now",2017-03-29T13:57:44Z
336195652,"Uploading a screenshot too since the bug report comment strips the indentation:

![image](https://user-images.githubusercontent.com/13824553/31508083-d68807f2-af31-11e7-8297-a379fd6089ba.png)
",2017-10-12T16:44:16Z
376009355,This is actually fixed in #14554,2018-03-25T22:35:12Z
391513147,"> This missing feature is the sole reason I still have Notepad++ installed.

I have a second reason: Notepad++ opens instantly.

EDIT: No longer applies nowadays, vscode startup speed has improved a lot since then.",2018-05-23T22:11:59Z
404502125,"Agreed, the Unix world learnt to use a fixed physical tabstop (of every 8 monospaced characters) a _very_ long time ago. It is the only way that generic tools (like XTerm or Powershell!) and text editors can reliably expand tabs in any file they come across.

The problem is that many Windows editors pretend they can flout the rules and cause many problems for themselves and others. A common misconception is that tabs can be any number of spaces and this can be used to change the indenting of a file. A little bit of thought shows that this only works if tabs only occur at the start of the line and spaces are only ever used as lone characters so you cannot align things anywhere except the indent.

So at the moment vscode cannot deal with tabs correctly.

Edit: Clarify the rules for ""any-width"" tabs in files.",2018-07-12T12:54:30Z
419452746,"I have a similar issue and I don't know should I open a new one. 

# Code

```js
panel = vscode.window.createWebviewPanel(...);
this.subscriptions.push(panel.onDidDispose(this.onPanelDisposed.bind(this)));

  onPanelDisposed() {
    console.log('onPanelDisposed');
    this._currentPanel = undefined;
  }

  dispose() {
    console.log('Home::dispose', this._currentPanel);
    if (this._currentPanel) {
      console.log('Going to kill home');
      this._currentPanel.dispose();
      this._currentPanel = undefined;
    }
}
```

# Problem

1. I don't know is it a feature or bug of VSCode, but each time when we add a new folder to workspace VSCode kills our extension via `deactivate()` and then `activate()` again. This workflow requires a lot of CPU resources for our `activate()` implementation. https://github.com/platformio/platformio-vscode-ide/blob/develop/src/main.js

2. When VSCode calls `deactivate()`, we call `panel.dispose()`, to close active PIO Home tab. Sometimes it works, sometimes does not. See log from debug console:
```
deactivating extension
extension.js:409
Home::dispose
home.js:132
Object
_isDisposed:false
_visible:true
_active:true
_onDisposeEmitter:Object
_onDidChangeViewStateEmitter:Object
_handle:""1""
_proxy:Object
_viewType:""pioHome""
_options:Object
_viewColumn:1
_title:""PIO Home""
_webview:Object
_iconPath:Object
Going to kill home
home.js:134
onPanelDisposed
home.js:127
activating extension
extension.js:26
starting language server
```

# Result

Our panel is not closed

",2018-09-07T14:14:14Z
419503668,@ivankravets Unrelated to original problem. Please open a new issue,2018-09-07T17:02:51Z
424919309,Is there any plan to support this feature in VSCode any time soon ?,2018-09-27T00:55:46Z
435757983,Looking for such an extension for Java,2018-11-05T05:18:02Z
450462013,"For the later part, you can set `workbench.editor.closeEmptyGroups: false` so closing last tab in a group will result in an empty group.",2018-12-29T03:31:22Z
471156387,I am missing this feature so much. I really hope they will implement it.,2019-03-09T08:04:52Z
475032055,+1 This is a great feature from IntelliJ that should definitetly be ported to vscode.,2019-03-20T21:17:30Z
476648614,I would really like to have this for python!,2019-03-26T13:50:43Z
479993107,+1 for JS,2019-04-04T17:36:13Z
498621200,"Just saw this feature in my coworkers WebStorm, now I want this feature in VSCode. :smiley: ",2019-06-04T10:48:59Z
503913633,Add me to the waiting list. It looks really cool on Intellij.,2019-06-20T07:36:15Z
505008298,It would be a very helpful feature. ,2019-06-24T13:24:41Z
511046621,I agree with the others! ,2019-07-12T21:58:27Z
511751173,Need!,2019-07-16T09:59:23Z
512183236,This would be really useful.,2019-07-17T09:44:33Z
513298526,phpstorm has it.  I saw this and wanted in Vscode :),2019-07-19T16:47:53Z
513512719,"@mjbvz Requesting this feature too - could we know the status, will it be implemented by the VS Code team?",2019-07-21T02:00:18Z
514957961,Would love to see this in VS Code.,2019-07-25T08:51:32Z
533920270,"any news on this?
",2019-09-22T21:27:36Z
534391074,any news on this?,2019-09-24T05:09:31Z
534391891,"> any news on this?

If there were, I am quite certain the vscode team would post an appropriate update to this thread.",2019-09-24T05:13:14Z
534441963,"2020 is approaching and this feature is not implemented yet !!
would be a great improvement :smiley: ",2019-09-24T08:02:45Z
534828249,"**Please** add this! It would be such a useful feature and, at least in my use, IntelliJ would have nothing over VS Code. Please!!!",2019-09-25T02:50:11Z
545400209,"any new on this , i see my friend have this 
![image](https://user-images.githubusercontent.com/24865815/67388724-35873200-f567-11e9-8178-469a4e818764.png)
This is awesome, how activate this in vscode ??
Or a plugin ?
",2019-10-23T11:32:33Z
548911020,"@alexr00 Hence, setting task group programmatically does not make any sense. The little trouble is that not every task can be easily added to **tasks.json** and marked as **build**. Anyway, thank you, at least I know what is going on.",2019-11-01T18:58:34Z
561851965,"Got a bunch of questions about ligatures when tweeting about the WebGL renderer so I'll give an update here. Here's the remaining work to do on this:

- xterm.js
  - [x] Integrate [xtermjs/xterm-addon-ligatures](https://github.com/xtermjs/xterm-addon-ligatures) into the [xtermjs/xterm.js](https://github.com/xtermjs/xterm.js) repo, this will enable automated publishing and ensure tests continue to pass https://github.com/xtermjs/xterm.js/issues/2726
  - [ ] Hook up ligatures into the demo
  - [ ] Set up some puppeteer tests that verify on all renderers (dom, canvas, webgl) that ligatures are working
  - [ ] Slim down the dependencies as much as possible
  - [ ] Leverage web font API
- vscode
  - [ ] Integrate xterm-addon-ligatures such that the addon code is not loaded if ligatures is off, add the setting, etc.",2019-12-04T21:41:49Z
570830850,This feature would be extremely useful!,2020-01-05T00:02:26Z
571355472,"This feature would be great! Meanwhile, I'm using JS Parameter Annotations",2020-01-06T23:07:46Z
571837789,"This would be a really great feature. Please, hear us out. 🚀 ",2020-01-08T00:36:24Z
571925790,"anyone can edit `%directories%\Microsoft VS Code\resources\app\extensions\%theLanguage%\language-configuration.json` . but yes, they should be configurable trough settings (settings.json at least) .

it allows setting up multiple-characters assets, alike this line from Extension for Python `{ ""open"": ""r\"""", ""close"": ""\"""", ""notIn"": [""string"", ""comment""] },` .",2020-01-08T07:30:06Z
573310687,It has been 3 years!!!,2020-01-11T12:01:31Z
577375162,This is very helpful and give us a large productivity scale.,2020-01-22T20:39:43Z
