,id,body,created_at
0,505691219, how is it possible that numpy does not have a matrix_transpose function I hid an undocumented one at np.linalg.linalg.transpose that uses the same broadcasting rules as the other linalg functions. You're welcome ;),2019-06-26T02:24:17Z
1,511477435,"Another hint: If you use numpy.add.at, a much faster alternative is numpy.bincount with its optional weight argument: python import perfplot import numpy numpy.random.seed(0) def numpy_add_at(data): a, i = data out0 = numpy.zeros(1000) numpy.add.at(out0, i, a) return out0 def numpy_bincount(data): a, i = data return numpy.bincount(i, weights=a, minlength=1000) perfplot.show( setup=lambda n: (numpy.random.rand(n), numpy.random.randint(0, 1000, n)), kernels=[numpy_add_at, numpy_bincount], n_range=[2 k for k in range(24)], ) ![out](",2019-07-15T16:40:19Z
2,671426864,"Here: Python 3.10.0a0 (heads/master:39042e0, Aug 10 2020, 0902) [GCC 8.3.0] on linux Type ""help"", ""copyright"", ""credits"" or ""license"" for more information. import numpy import sys numpy.__version__ '1.19.1' sys.version '3.10.0a0 (heads/master:39042e0, Aug 10 2020, 0902) \n[GCC 8.3.0]' ",2020-08-10T15:32:49Z
3,685809035,"Sorry, I retract my retraction. That failure comes from 1.17.0. In master, it _is_ allowed: python a = np.array([np.zeros((3, 2)), np.zeros((3, 3))], dtype=object) a array(list([array([[0., 0.], [0., 0.], [0., 0.]]), array([[0., 0., 0.], [0., 0., 0.], [0., 0., 0.]])]), dtype=object) a.shape () huh? np.__version__ '1.20.0.dev0+5dbc66e' but frankly the output is nonsense.",2020-09-02T15:22:57Z
4,685815029,"Hmmm, yeah, although I think that one is likely just an independent bug, the discovered shape is incorrect to begin with.",2020-09-02T15:31:41Z
5,685817615,"Hmm, ok, what we could do (or argue as being correct), is that the shape here should always be (2,) when dtype=object. But that is also a bit strange, it would resolve all of these issues in a probably even decent way, but is a bit complicated by itself. Mind creating a new issue for it? I am looking if I can find some obvious thing right now... if not, yes. I think the shape should be discovered as (2, 3) here probably, and then we just get the old result.",2020-09-02T15:35:35Z
6,685824689," Mind creating a new issue for it? I am looking at it right now, my shape updating code was pretty old, and required some more love. I guess the code coverage looked like the case was covered but it wasn't. (there was a simple sign error) But I am also looking whether I can make the warning distinguish the case where dtype=object will definitely not help in the future (i.e. if an array would have to be split into sequences).",2020-09-02T15:46:47Z
7,691932282,Just this comment left to address: I cleaned up the whitespace myself,2020-09-14T09:19:37Z
8,736272909,"Just ran into an issue with the inconsistency of the documentation for PyArray_AsCArray. I'm on 1.19. The [documentation]( says the signature is int PyArray_AsCArray(PyObject op, void ptr, npy_intp dims, int nd, int typenum, int itemsize), but I'm getting a compile error, and looking at [the code on GitHub]( that doesn't seem to be the case.",2020-12-01T07:14:25Z
9,736518952,"Note that this latter discussion is offtopic. The bug report is about making bincount work for uint64, an unsigned type. If you want it to work with negative numbers, you should perhaps open a new issue.",2020-12-01T12:23:02Z
10,754299396,"Can you try passing dtype=object, and see if the result fits in an int64?",2021-01-05T00:03:49Z
11,754306454,Will do what you're after (will be part of 1.20.0),2021-01-05T00:23:35Z
12,754338224," After changing to A = np.random.rand(200, 100) + 0j, the perf result remains the same, which means complex matmul is twice slower than noncomplex.",2021-01-05T02:07:01Z
13,754351973,"I would guess that the relevant code change is probably array size. NumPy doesn't have blocked iteration, so if you have outofcache sized arrays that makes a massive difference?",2021-01-05T02:47:07Z
14,754377755,"LGTM, Thanks !",2021-01-05T04:02:25Z
15,754380859,whohoo. thanks. ,2021-01-05T04:12:19Z
16,754396818,"Sorry, I confused myself. This needs to be backported unfortunately. We may have more tests for the casts, but not for promotions (but then the main promotion tests are one huge test in test_numeric it is possible float16 ones were just never added.",2021-01-05T04:59:10Z
17,754441388,"Hello, As for SLEEF, there are a couple of things to pay attention. 1. Beware of this bug : It seems that there are other bugs on clang, but I cannot reliably reproduce the problems. GCC seems okay, but gcc 10.2 cannot compile the quad library with SVE support due to ICE. 2. Arithmetic functions (add, sub, mul, and div) do not give perfectly correctlyrounded results. They have very small amount of error. Please tell me if this is problematic. ",2021-01-05T06:55:03Z
18,754465288," I didn't see your scalar version quadruple precision implementation, the vectorized version has an error bound like 0.5000000001 ULP, which is unbearable in numpy's precision standard, maybe scalar version can overcame this flaw.",2021-01-05T07:44:38Z
19,754491313,"It is not so hard to just implement a correctlyrounded version of arithmetic functions. The problem is that there is a tradeoff between speed and accuracy. If 0.5000000001 ULP is not bearable, I will add correctlyrounded but slower functions.",2021-01-05T08:37:00Z
20,754493377,"Note this will try to allocate an array of 232 elements of type object, which may eventually succeed in systems with 32GB of memory. Nevertheless, we should ideally respond to ctrl+C here.",2021-01-05T08:41:29Z
21,754501074, Is that actually incorrect with the transpose? I think so. The original reproducer seems correct to me. In the extended candidate reproducer I vary n and k and the results seem correct (I fail to reproduce the bug I observe when calling openblas DGEMM via numpy). I will probably need to use a debugger to double check the exact cblas_dgemm arguments when calling from numpy.,2021-01-05T08:57:04Z
22,754536109,"Perhaps arithmetic functions used for the trigonometric functions do not necessarily have to be correctlyrounded, only the arithmetic functions exposed to the user for IEEE 754 conformity. In this context, the question arises as to whether GNU libquadmath arithmetic functions are correctlyrounded or not. ",2021-01-05T10:02:30Z
23,754543515,"Arithmetic functions are implemented within glibc, and they are correctly rounded.",2021-01-05T10:15:32Z
24,754571149,Thanks ,2021-01-05T11:11:21Z
