,id,body,created_at
0,309970195,It's surprising that functional components are not PureComponent by default...,2017-06-21T05:48:30Z
1,368877149,Speaking of workarounds. I've just added this hack to my jest snapshot tests. ReactDOM.createPortal = node = node ,2018-02-27T13:38:42Z
2,523610642,+1 on bringing back some version of this feature that enables a quick highlevel view of rerenders even for rerenders that are a result of when we update context.,2019-08-21T19:17:47Z
3,557217372,"js return React.cloneElement(child, { innerRef: node = node ? setRefs.set(child.key, node) : setRefs.delete(child.key) }); You're passing the ref via innerRef prop. It should be passed via ref. js return React.cloneElement(child, { ref: node = node ? setRefs.set(child.key, node) : setRefs.delete(child.key) }); Edited by to fix typo.",2019-11-21T18:39:08Z
4,586544137,This warning is absolute idiocy.,2020-02-15T02:20:54Z
5,615871428,"This pull request is automatically built and testable in [CodeSandbox]( To see build info of the built libraries, click [here]( or the icon next to each commit SHA. Latest deployment of this branch, based on commit 9decbb0975f2ef981437610094a4932a996924b0: |Sandbox| Source | ||| |[React]( Configuration | ",2020-04-18T13:27:27Z
6,615872314," <! 0 failure: 1 warning: Could not find bu... 1 markdown notices DangerID: dangeridstable; <table <thead <tr <th width=""50""</th <th width=""100%"" datadangertable=""true""Warnings</th </tr </thead <tbody<tr <td</td <tdCould not find build artifacts for base commit: 58c895e59cd2822a9a7a67606d5fe7da5e09ba2a</td </tr </tbody </table Size changes (stable) <p align=""right"" Generated by :no_entry_sign: <a href="" against 9decbb0975f2ef981437610094a4932a996924b0 </p ",2020-04-18T13:31:14Z
7,615872453," <! 0 failure: 1 warning: Could not find bu... 1 markdown notices DangerID: dangeridexperimental; <table <thead <tr <th width=""50""</th <th width=""100%"" datadangertable=""true""Warnings</th </tr </thead <tbody<tr <td</td <tdCould not find build artifacts for base commit: 58c895e59cd2822a9a7a67606d5fe7da5e09ba2a</td </tr </tbody </table Size changes (experimental) <p align=""right"" Generated by :no_entry_sign: <a href="" against 9decbb0975f2ef981437610094a4932a996924b0 </p ",2020-04-18T13:31:52Z
8,648752366," For calling async inside useEffect you can use IEFE function javascript useEffect(() = { (async () = { await asyncCall() })() }, []) useEffect return type must be a function or nothing undefined. putting async on useEffect make it to return a Promise which is not a function",2020-06-24T11:01:50Z
9,696081106,"I did something quite similar, Can't remember where I saw the code originally or if I rewrote something from SO I still think building this into react would be very useful. function useIsFirstRender() { const isRenderRef = useRef(true); useEffect(() = { isRenderRef.current = false; }, []); return isRenderRef.current; } export default useIsFirstRender; ",2020-09-21T12:26:45Z
10,726995837,"This pull request is automatically built and testable in [CodeSandbox]( To see build info of the built libraries, click [here]( or the icon next to each commit SHA. Latest deployment of this branch, based on commit e84b363a6d419ef3b53371ecf558bfe29556de91: |Sandbox| Source | ||| |[React]( Configuration | ",2020-11-13T19:43:23Z
11,726997246," <! 0 failure: 1 warning: Build job for bas... 1 markdown notices DangerID: dangeridexperimental; <table <thead <tr <th width=""50""</th <th width=""100%"" datadangertable=""true""Warnings</th </tr </thead <tbody<tr <td</td <tdBuild job for base commit is still pending: fc07b070a09396e60126dd75641472f0c7504edf</td </tr </tbody </table Size changes (experimental) <p align=""right"" Generated by :no_entry_sign: <a href="" against a0e5a86f33cf21dbfdf6f9f19c2d00a2ec53d863 </p ",2020-11-13T19:46:46Z
12,739247167,"This pull request is automatically built and testable in [CodeSandbox]( To see build info of the built libraries, click [here]( or the icon next to each commit SHA. Latest deployment of this branch, based on commit d5767cd6c1bc2a779ed1541d83f34ae11f02c5a3: |Sandbox| Source | ||| |[React]( Configuration | |[recursingengelbart0dwuu]( Issue | ",2020-12-05T12:52:47Z
13,739247560," <! 0 failure: 1 warning: Could not find bu... 1 markdown notices DangerID: dangeridstable; <table <thead <tr <th width=""50""</th <th width=""100%"" datadangertable=""true""Warnings</th </tr </thead <tbody<tr <td</td <tdCould not find build artifacts for base commit: 0db61a08befe6406aa93568708224d1cca2aff7d</td </tr </tbody </table Size changes (stable) <p align=""right"" Generated by :no_entry_sign: <a href="" against d5767cd6c1bc2a779ed1541d83f34ae11f02c5a3 </p ",2020-12-05T12:56:23Z
14,739247603," <! 0 failure: 1 warning: Could not find bu... 1 markdown notices DangerID: dangeridexperimental; <table <thead <tr <th width=""50""</th <th width=""100%"" datadangertable=""true""Warnings</th </tr </thead <tbody<tr <td</td <tdCould not find build artifacts for base commit: 0db61a08befe6406aa93568708224d1cca2aff7d</td </tr </tbody </table Size changes (experimental) <p align=""right"" Generated by :no_entry_sign: <a href="" against d5767cd6c1bc2a779ed1541d83f34ae11f02c5a3 </p ",2020-12-05T12:56:47Z
15,751198583,mark,2020-12-25T07:37:49Z
16,752116059,Bump.,2020-12-29T15:14:56Z
17,753513631,"This pull request is automatically built and testable in [CodeSandbox]( To see build info of the built libraries, click [here]( or the icon next to each commit SHA. Latest deployment of this branch, based on commit 829073262c78859f156a93456b8c5fa8e0462f68: |Sandbox| Source | ||| |[React]( Configuration | ",2021-01-02T18:38:09Z
18,753513933," <! 0 failure: 0 warning: 2 markdown notices DangerID: dangeridexperimental; No significant bundle size changes to report. Size changes (experimental) <p align=""right"" Generated by :no_entry_sign: <a href="" against 829073262c78859f156a93456b8c5fa8e0462f68 </p ",2021-01-02T18:41:11Z
19,753513973," <! 0 failure: 0 warning: 2 markdown notices DangerID: dangeridstable; No significant bundle size changes to report. Size changes (stable) <p align=""right"" Generated by :no_entry_sign: <a href="" against 829073262c78859f156a93456b8c5fa8e0462f68 </p ",2021-01-02T18:41:31Z
20,754067710,"This pull request is automatically built and testable in [CodeSandbox]( To see build info of the built libraries, click [here]( or the icon next to each commit SHA. Latest deployment of this branch, based on commit f49efc86bdea3e6bf1d4935013c80361ca65bcda: |Sandbox| Source | ||| |[React]( Configuration | ",2021-01-04T16:14:28Z
21,754090720," <! 0 failure: 0 warning: 2 markdown notices DangerID: dangeridstable; No significant bundle size changes to report. Size changes (stable) <p align=""right"" Generated by :no_entry_sign: <a href="" against f49efc86bdea3e6bf1d4935013c80361ca65bcda </p ",2021-01-04T16:55:51Z
22,754090864," <! 0 failure: 0 warning: 2 markdown notices DangerID: dangeridexperimental; No significant bundle size changes to report. Size changes (experimental) <p align=""right"" Generated by :no_entry_sign: <a href="" against f49efc86bdea3e6bf1d4935013c80361ca65bcda </p ",2021-01-04T16:56:07Z
23,754126769,"This is impacting user who uses mobx as their state management, as each of component should be wrapped with observer. I noticed that this problem only affect [snowpack]( project, [CRA]( are fine. When component is wrapped in observer, fastrefresh does not work.",2021-01-04T18:05:00Z
24,754338803," sorry for the slow reply. That's a good point, let me think about it. at the very least I want to make sure whatever design we pick here doesn't clash with the possibility of doing that in the future, even if we decide not to implement it now.",2021-01-05T02:09:10Z
25,754494934,"Looks like this is unrelated to React and even JavaScript since the error message comes from Java. Please provide a CodeSandbox ( a link to a repository on GitHub, or provide a minimal code example that reproduces the problem. Here are some tips for providing a minimal example: <! mui template: <! react template: ",2021-01-05T08:44:52Z
26,754540668,"Hi ! Thank you for your pull request and welcome to our community. We require contributors to sign our Contributor License Agreement, and we don't seem to have you on file. In order for us to review and merge your code, please sign at < If you are contributing on behalf of someone else (eg your employer), the individual CLA may not be sufficient and your employer may need to sign the corporate CLA. If you have received this in error or have any questions, please contact us at [cla.com](mailto:cla.com?subject=CLA%20for%20facebook%2Freact%20%2320546). Thanks!",2021-01-05T10:09:55Z
27,754542386,"This pull request is automatically built and testable in [CodeSandbox]( To see build info of the built libraries, click [here]( or the icon next to each commit SHA. Latest deployment of this branch, based on commit 27a7be030bb51c47aead7b6c8790f8d327cc5886: |Sandbox| Source | ||| |[React]( Configuration | ",2021-01-05T10:13:22Z
28,754544252," <! 0 failure: 0 warning: 2 markdown notices DangerID: dangeridexperimental; No significant bundle size changes to report. Size changes (experimental) <p align=""right"" Generated by :no_entry_sign: <a href="" against 27a7be030bb51c47aead7b6c8790f8d327cc5886 </p ",2021-01-05T10:16:58Z
29,754544681," <! 0 failure: 0 warning: 2 markdown notices DangerID: dangeridstable; No significant bundle size changes to report. Size changes (stable) <p align=""right"" Generated by :no_entry_sign: <a href="" against 27a7be030bb51c47aead7b6c8790f8d327cc5886 </p ",2021-01-05T10:17:47Z
30,754549442,Thank you for signing our Contributor License Agreement. We can now accept your code for this (and any) Facebook open source project. Thanks!,2021-01-05T10:27:59Z
31,754600189,"With all the respect, wrapper doesn't sound like cheating, it is cheating. Tree shaking and other tools to analyze code which know only about ES6 modules semantics won't fully work with it ever. If there will be major release of React, I think it will be more beneficial for community to go with correct ES6 modules and namedonly exports, that's what versioning is about to do breaking changes if they are really necessary. If there is problem with tooling (to bundle two versions or other issue) it should be probably fixed on tooling side. ",2021-01-05T12:15:51Z
32,754629378," tree shaking works equally well with CJS, it's just not enabled by default in the popular bundlers, so they could already handle things without any ESM whatsoever if it was important to do so. The problem that needs fixing on the tooling side is ""treeshaking often only works with ESM by default"".",2021-01-05T13:16:21Z
33,754663867,Will this style also might produce the same issue? export default withStyles(appStyle)(App); ,2021-01-05T14:19:44Z
34,754716439,"Since dynamic imports exist, wellbehaved libraries are required anyways.",2021-01-05T15:43:31Z
35,754718201,"Putting it in another words, you just create a component, which receives isVisible prop and renders children if passed expression evaluates to true. ts import React from 'react'; type ConditionalWrapperProps = { isVisible: boolean; children: React.ReactNode; }; const ConditionalWrapper = (props: ConditionalWrapperProps) = (props.isVisible ? <{props.children}</ : <</); export default ConditionalWrapper; ",2021-01-05T15:46:24Z
36,754721780,"This pull request is automatically built and testable in [CodeSandbox]( To see build info of the built libraries, click [here]( or the icon next to each commit SHA. Latest deployment of this branch, based on commit 5643c33f731e22a8863cb2ea16bfb942d69f47c6: |Sandbox| Source | ||| |[React]( Configuration | ",2021-01-05T15:52:10Z
37,754724143," <! 0 failure: 0 warning: 2 markdown notices DangerID: dangeridexperimental; No significant bundle size changes to report. Size changes (experimental) <p align=""right"" Generated by :no_entry_sign: <a href="" against 5643c33f731e22a8863cb2ea16bfb942d69f47c6 </p ",2021-01-05T15:55:57Z
38,754724960," <! 0 failure: 0 warning: 2 markdown notices DangerID: dangeridstable; No significant bundle size changes to report. Size changes (stable) <p align=""right"" Generated by :no_entry_sign: <a href="" against 5643c33f731e22a8863cb2ea16bfb942d69f47c6 </p ",2021-01-05T15:57:16Z
39,754745936,"This pull request is automatically built and testable in [CodeSandbox]( To see build info of the built libraries, click [here]( or the icon next to each commit SHA. Latest deployment of this branch, based on commit cf267fe40f749694f8ecb4b68d1cad907cc58d03: |Sandbox| Source | ||| |[React]( Configuration | ",2021-01-05T16:30:18Z
40,754749203," <! 0 failure: 0 warning: 2 markdown notices DangerID: dangeridstable; No significant bundle size changes to report. Size changes (stable) <p align=""right"" Generated by :no_entry_sign: <a href="" against cf267fe40f749694f8ecb4b68d1cad907cc58d03 </p ",2021-01-05T16:35:26Z
41,754759925," Unfortunately, I've decided to also remove the accessibility directory from the React repository for now About a year later, I'd like to ask if there's any plan or progress to bring these back.",2021-01-05T16:54:25Z
42,754830883,"This pull request is automatically built and testable in [CodeSandbox]( To see build info of the built libraries, click [here]( or the icon next to each commit SHA. Latest deployment of this branch, based on commit 4972f76c2af4d3698deecbda825cd3069bf81843: |Sandbox| Source | ||| |[React]( Configuration | ",2021-01-05T18:54:25Z
