,id,body,created_at
0,336195652,Uploading a screenshot too since the bug report comment strips the indentation: ![image]( ,2017-10-12T16:44:16Z
1,376009355,This is actually fixed in ,2018-03-25T22:35:12Z
2,391513147," This missing feature is the sole reason I still have Notepad++ installed. I have a second reason: Notepad++ opens instantly. EDIT: No longer applies nowadays, vscode startup speed has improved a lot since then.",2018-05-23T22:11:59Z
3,419503668, Unrelated to original problem. Please open a new issue,2018-09-07T17:02:51Z
4,424919309,Is there any plan to support this feature in VSCode any time soon ?,2018-09-27T00:55:46Z
5,435757983,Looking for such an extension for Java,2018-11-05T05:18:02Z
6,450462013,"For the later part, you can set workbench.editor.closeEmptyGroups: false so closing last tab in a group will result in an empty group.",2018-12-29T03:31:22Z
7,471156387,I am missing this feature so much. I really hope they will implement it.,2019-03-09T08:04:52Z
8,475032055,+1 This is a great feature from IntelliJ that should definitetly be ported to vscode.,2019-03-20T21:17:30Z
9,476648614,I would really like to have this for python!,2019-03-26T13:50:43Z
10,479993107,+1 for JS,2019-04-04T17:36:13Z
11,498621200,"Just saw this feature in my coworkers WebStorm, now I want this feature in VSCode. ",2019-06-04T10:48:59Z
12,503913633,Add me to the waiting list. It looks really cool on Intellij.,2019-06-20T07:36:15Z
13,505008298,It would be a very helpful feature. ,2019-06-24T13:24:41Z
14,511046621,I agree with the others! ,2019-07-12T21:58:27Z
15,511751173,Need!,2019-07-16T09:59:23Z
16,512183236,This would be really useful.,2019-07-17T09:44:33Z
17,513298526,phpstorm has it. I saw this and wanted in Vscode :),2019-07-19T16:47:53Z
18,513512719," Requesting this feature too could we know the status, will it be implemented by the VS Code team?",2019-07-21T02:00:18Z
19,514957961,Would love to see this in VS Code.,2019-07-25T08:51:32Z
20,533920270,any news on this? ,2019-09-22T21:27:36Z
21,534391074,any news on this?,2019-09-24T05:09:31Z
22,534391891," any news on this? If there were, I am quite certain the vscode team would post an appropriate update to this thread.",2019-09-24T05:13:14Z
23,534441963,2020 is approaching and this feature is not implemented yet !! would be a great improvement ,2019-09-24T08:02:45Z
24,534828249,"Please add this! It would be such a useful feature and, at least in my use, IntelliJ would have nothing over VS Code. Please!!!",2019-09-25T02:50:11Z
25,545400209,"any new on this , i see my friend have this ![image]( This is awesome, how activate this in vscode ?? Or a plugin ? ",2019-10-23T11:32:33Z
26,548911020," Hence, setting task group programmatically does not make any sense. The little trouble is that not every task can be easily added to tasks.json and marked as build. Anyway, thank you, at least I know what is going on.",2019-11-01T18:58:34Z
27,570830850,This feature would be extremely useful!,2020-01-05T00:02:26Z
28,571355472,"This feature would be great! Meanwhile, I'm using JS Parameter Annotations",2020-01-06T23:07:46Z
