id,Text,created_at,Emotion
505691219,how is it possible that numpy does not have a matrix_transpose function I hid an undocumented one at np.linalg.linalg.transpose that uses the same broadcasting rules as the other linalg functions. You're welcome ;),2019-06-26T02:24:17Z,neutral
511477435,"Another hint: If you use numpy.add.at, a much faster alternative is numpy.bincount with its optional weight argument: python import perfplot import numpy numpy.random.seed(0) def numpy_add_at(data): a, i = data out0 = numpy.zeros(1000) numpy.add.at(out0, i, a) return out0 def numpy_bincount(data): a, i = data return numpy.bincount(i, weights=a, minlength=1000) perfplot.show( setup=lambda n: (numpy.random.rand(n), numpy.random.randint(0, 1000, n)), kernels=[numpy_add_at, numpy_bincount], n_range=[2 k for k in range(24)], ) ![out](",2019-07-15T16:40:19Z,neutral
685809035,"Sorry, I retract my retraction. That failure comes from 1.17.0. In master, it _is_ allowed: python a = np.array([np.zeros((3, 2)), np.zeros((3, 3))], dtype=object) a array(list([array([[0., 0.], [0., 0.], [0., 0.]]), array([[0., 0., 0.], [0., 0., 0.], [0., 0., 0.]])]), dtype=object) a.shape () huh? np.__version__ '1.20.0.dev0+5dbc66e' but frankly the output is nonsense.",2020-09-02T15:22:57Z,sadness
685815029,"Hmmm, yeah, although I think that one is likely just an independent bug, the discovered shape is incorrect to begin with.",2020-09-02T15:31:41Z,sadness
685817615,"Hmm, ok, what we could do (or argue as being correct), is that the shape here should always be (2,) when dtype=object. But that is also a bit strange, it would resolve all of these issues in a probably even decent way, but is a bit complicated by itself. Mind creating a new issue for it? I am looking if I can find some obvious thing right now... if not, yes. I think the shape should be discovered as (2, 3) here probably, and then we just get the old result.",2020-09-02T15:35:35Z,neutral
685824689," Mind creating a new issue for it? I am looking at it right now, my shape updating code was pretty old, and required some more love. I guess the code coverage looked like the case was covered but it wasn't. (there was a simple sign error) But I am also looking whether I can make the warning distinguish the case where dtype=object will definitely not help in the future (i.e. if an array would have to be split into sequences).",2020-09-02T15:46:47Z,fear
691932282,Just this comment left to address: I cleaned up the whitespace myself,2020-09-14T09:19:37Z,sadness
736518952,"Note that this latter discussion is offtopic. The bug report is about making bincount work for uint64, an unsigned type. If you want it to work with negative numbers, you should perhaps open a new issue.",2020-12-01T12:23:02Z,anger
754299396,"Can you try passing dtype=object, and see if the result fits in an int64?",2021-01-05T00:03:49Z,neutral
754306454,Will do what you're after (will be part of 1.20.0),2021-01-05T00:23:35Z,neutral
754338224," After changing to A = np.random.rand(200, 100) + 0j, the perf result remains the same, which means complex matmul is twice slower than noncomplex.",2021-01-05T02:07:01Z,joy
754351973,"I would guess that the relevant code change is probably array size. NumPy doesn't have blocked iteration, so if you have outofcache sized arrays that makes a massive difference?",2021-01-05T02:47:07Z,neutral
754377755,"LGTM, Thanks !",2021-01-05T04:02:25Z,joy
754380859,whohoo. thanks.,2021-01-05T04:12:19Z,joy
754396818,"Sorry, I confused myself. This needs to be backported unfortunately. We may have more tests for the casts, but not for promotions (but then the main promotion tests are one huge test in test_numeric it is possible float16 ones were just never added.",2021-01-05T04:59:10Z,sadness
