id,Text,created_at,Emotion
309970195,It's surprising that functional components are not PureComponent by default...,2017-06-21T05:48:30Z,neutral
368877149,Speaking of workarounds. I've just added this hack to my jest snapshot tests. ReactDOM.createPortal = node = node,2018-02-27T13:38:42Z,joy
523610642,+1 on bringing back some version of this feature that enables a quick highlevel view of rerenders even for rerenders that are a result of when we update context.,2019-08-21T19:17:47Z,joy
557217372,"js return React.cloneElement(child, { innerRef: node = node ? setRefs.set(child.key, node) : setRefs.delete(child.key) }); You're passing the ref via innerRef prop. It should be passed via ref. js return React.cloneElement(child, { ref: node = node ? setRefs.set(child.key, node) : setRefs.delete(child.key) }); Edited by to fix typo.",2019-11-21T18:39:08Z,anger
586544137,This warning is absolute idiocy.,2020-02-15T02:20:54Z,anger
615871428,"This pull request is automatically built and testable in [CodeSandbox]( To see build info of the built libraries, click [here]( or the icon next to each commit SHA. Latest deployment of this branch, based on commit 9decbb0975f2ef981437610094a4932a996924b0: |Sandbox| Source | ||| |[React]( Configuration | ",2020-04-18T13:27:27Z,anger
696081106,"I did something quite similar, Can't remember where I saw the code originally or if I rewrote something from SO I still think building this into react would be very useful. function useIsFirstRender() { const isRenderRef = useRef(true); useEffect(() = { isRenderRef.current = false; }, []); return isRenderRef.current; } export default useIsFirstRender; ",2020-09-21T12:26:45Z,fear
726995837,"This pull request is automatically built and testable in [CodeSandbox]( To see build info of the built libraries, click [here]( or the icon next to each commit SHA. Latest deployment of this branch, based on commit e84b363a6d419ef3b53371ecf558bfe29556de91: |Sandbox| Source | ||| |[React]( Configuration | ",2020-11-13T19:43:23Z,anger
754126769,"This is impacting user who uses mobx as their state management, as each of component should be wrapped with observer. I noticed that this problem only affect [snowpack]( project, [CRA]( are fine. When component is wrapped in observer, fastrefresh does not work.",2021-01-04T18:05:00Z,fear
754338803," sorry for the slow reply. That's a good point, let me think about it. at the very least I want to make sure whatever design we pick here doesn't clash with the possibility of doing that in the future, even if we decide not to implement it now.",2021-01-05T02:09:10Z,sadness
754494934,"Looks like this is unrelated to React and even JavaScript since the error message comes from Java. Please provide a CodeSandbox ( a link to a repository on GitHub, or provide a minimal code example that reproduces the problem. Here are some tips for providing a minimal example: <! mui template: <! react template: ",2021-01-05T08:44:52Z,fear
754540668,"Hi ! Thank you for your pull request and welcome to our community. We require contributors to sign our Contributor License Agreement, and we don't seem to have you on file. In order for us to review and merge your code, please sign at < If you are contributing on behalf of someone else (eg your employer), the individual CLA may not be sufficient and your employer may need to sign the corporate CLA. If you have received this in error or have any questions, please contact us at [cla.com](mailto:cla.com?subject=CLA%20for%20facebook%2Freact%20%2320546). Thanks!",2021-01-05T10:09:55Z,anger
754542386,"This pull request is automatically built and testable in [CodeSandbox]( To see build info of the built libraries, click [here]( or the icon next to each commit SHA. Latest deployment of this branch, based on commit 27a7be030bb51c47aead7b6c8790f8d327cc5886: |Sandbox| Source | ||| |[React]( Configuration | ",2021-01-05T10:13:22Z,anger
754549442,Thank you for signing our Contributor License Agreement. We can now accept your code for this (and any) Facebook open source project. Thanks!,2021-01-05T10:27:59Z,joy
754600189,"With all the respect, wrapper doesn't sound like cheating, it is cheating. Tree shaking and other tools to analyze code which know only about ES6 modules semantics won't fully work with it ever. If there will be major release of React, I think it will be more beneficial for community to go with correct ES6 modules and namedonly exports, that's what versioning is about to do breaking changes if they are really necessary. If there is problem with tooling (to bundle two versions or other issue) it should be probably fixed on tooling side. ",2021-01-05T12:15:51Z,neutral
754629378," tree shaking works equally well with CJS, it's just not enabled by default in the popular bundlers, so they could already handle things without any ESM whatsoever if it was important to do so. The problem that needs fixing on the tooling side is ""treeshaking often only works with ESM by default"".",2021-01-05T13:16:21Z,fear
754663867,Will this style also might produce the same issue? export default withStyles(appStyle)(App);,2021-01-05T14:19:44Z,neutral
754716439,"Since dynamic imports exist, wellbehaved libraries are required anyways.",2021-01-05T15:43:31Z,neutral
754718201,"Putting it in another words, you just create a component, which receives isVisible prop and renders children if passed expression evaluates to true. ts import React from 'react'; type ConditionalWrapperProps = { isVisible: boolean; children: React.ReactNode; }; const ConditionalWrapper = (props: ConditionalWrapperProps) = (props.isVisible ? <{props.children}</ : <</); export default ConditionalWrapper; ",2021-01-05T15:46:24Z,fear
754721780,"This pull request is automatically built and testable in [CodeSandbox]( To see build info of the built libraries, click [here]( or the icon next to each commit SHA. Latest deployment of this branch, based on commit 5643c33f731e22a8863cb2ea16bfb942d69f47c6: |Sandbox| Source | ||| |[React]( Configuration | ",2021-01-05T15:52:10Z,anger
