Unnamed: 0,id,Text,created_at,Emotion
0,336195652,Uploading a screenshot too since the bug report comment strips the indentation: ![image](,2017-10-12T16:44:16Z,neutral
1,376009355,This is actually fixed in,2018-03-25T22:35:12Z,neutral
2,391513147," This missing feature is the sole reason I still have Notepad++ installed. I have a second reason: Notepad++ opens instantly. EDIT: No longer applies nowadays, vscode startup speed has improved a lot since then.",2018-05-23T22:11:59Z,neutral
3,419503668,Unrelated to original problem. Please open a new issue,2018-09-07T17:02:51Z,neutral
4,424919309,Is there any plan to support this feature in VSCode any time soon ?,2018-09-27T00:55:46Z,neutral
5,435757983,Looking for such an extension for Java,2018-11-05T05:18:02Z,neutral
6,450462013,"For the later part, you can set workbench.editor.closeEmptyGroups: false so closing last tab in a group will result in an empty group.",2018-12-29T03:31:22Z,neutral
7,471156387,I am missing this feature so much. I really hope they will implement it.,2019-03-09T08:04:52Z,sadness
8,475032055,+1 This is a great feature from IntelliJ that should definitetly be ported to vscode.,2019-03-20T21:17:30Z,joy
9,476648614,I would really like to have this for python!,2019-03-26T13:50:43Z,joy
10,479993107,+1 for JS,2019-04-04T17:36:13Z,joy
11,498621200,"Just saw this feature in my coworkers WebStorm, now I want this feature in VSCode. ",2019-06-04T10:48:59Z,neutral
12,503913633,Add me to the waiting list. It looks really cool on Intellij.,2019-06-20T07:36:15Z,joy
13,505008298,It would be a very helpful feature.,2019-06-24T13:24:41Z,joy
14,511046621,I agree with the others!,2019-07-12T21:58:27Z,neutral
15,511751173,Need!,2019-07-16T09:59:23Z,neutral
16,512183236,This would be really useful.,2019-07-17T09:44:33Z,joy
17,513298526,phpstorm has it. I saw this and wanted in Vscode :),2019-07-19T16:47:53Z,joy
18,513512719," Requesting this feature too could we know the status, will it be implemented by the VS Code team?",2019-07-21T02:00:18Z,fear
19,514957961,Would love to see this in VS Code.,2019-07-25T08:51:32Z,joy
21,534391074,any news on this?,2019-09-24T05:09:31Z,neutral
22,534391891," any news on this? If there were, I am quite certain the vscode team would post an appropriate update to this thread.",2019-09-24T05:13:14Z,neutral
23,534441963,2020 is approaching and this feature is not implemented yet !! would be a great improvement,2019-09-24T08:02:45Z,fear
24,534828249,"Please add this! It would be such a useful feature and, at least in my use, IntelliJ would have nothing over VS Code. Please!!!",2019-09-25T02:50:11Z,neutral
25,545400209,"any new on this , i see my friend have this ![image]( This is awesome, how activate this in vscode ?? Or a plugin ? ",2019-10-23T11:32:33Z,joy
26,548911020," Hence, setting task group programmatically does not make any sense. The little trouble is that not every task can be easily added to tasks.json and marked as build. Anyway, thank you, at least I know what is going on.",2019-11-01T18:58:34Z,fear
27,570830850,This feature would be extremely useful!,2020-01-05T00:02:26Z,joy
28,571355472,"This feature would be great! Meanwhile, I'm using JS Parameter Annotations",2020-01-06T23:07:46Z,joy
29,571837789,"This would be a really great feature. Please, hear us out.  ",2020-01-08T00:36:24Z,neutral
31,573310687,It has been 3 years!!!,2020-01-11T12:01:31Z,neutral
32,577375162,This is very helpful and give us a large productivity scale.,2020-01-22T20:39:43Z,joy
33,577799431,"You need to be on corpnet for this. The specific call to the TS Server is: cs var result = await this.taskHandler.InvokeTSServerAsync(CommandNames.NameOrDottedNameSpan, document, TaskPriority.High, cancellationToken, (proxy, endpoint, operationToken) = proxy.GetNameOrDottedNameSpan(endpoint, document, endPoint.Value.Position, operationToken)); We don't use this command currently",2020-01-23T18:04:30Z,anger
34,649614357,Any updates? My gamechanging extension desperately needs this!!!!,2020-06-25T15:14:54Z,sadness
35,666363124,I never use Snaps. I installed it through AUR on Manjaro.,2020-07-30T13:25:51Z,neutral
36,686306343,Is there any estimation on this? Having environment variables available with settingssync now integrated into _stable_ would be more useful than ever.,2020-09-03T07:21:04Z,joy
37,698804428,"Absolutely, but then why a core developer, Microsoft representative, would say otherwise, that you can use the marketplace with Code OSS?",2020-09-25T08:42:32Z,neutral
39,716694418,Is there an update on this? We are still having this happen in Windows Docker containers making our CI a pain.,2020-10-26T17:09:57Z,fear
40,717081560,I'm having the same issues with the Git Graph extension: ![obraz]( Related:,2020-10-27T08:41:53Z,neutral
41,721965556,"This doesn't just happen with Markdown files; it is also the case with Python files (.py, ipynb), .cpp files,... anything where the text has highlighting or formatting, I think. This is a big issue for me because I copy and paste code snippets into OneNote, and I want to keep the syntax highlighting in OneNote, but then if I copy and paste from OneNote back into VS code, the code is pasted with nonbreaking spaces and doesn't work.",2020-11-04T20:44:57Z,fear
42,726097284,"I leave this to the respective owners to decide. There are many usecases with these extensions, and I am not familiar with all of them. So I cannot say for sure what the impact would be if they would be activated after the startup. The ask is to evaluate if you would like to switch to onStartupFinished from . vscode.debugautolaunch vscode.emmet vscode.git vscode.github vscode.mergeconflict vscode.searchresult ",2020-11-12T14:03:27Z,fear
43,732226970,"I would love to take this out of my (logging) code: // VSCode does not support colors in the output channel: // NoColor: true, ",2020-11-23T15:18:35Z,anger
44,735768391,Changing Terminal Integrated: Render Type from auto to canvas seems to work for me. ![image]( UPDATE: This did NOT solve the problem for me.,2020-11-30T12:54:11Z,anger
45,744016712,"I'd like to suggest that it should use the same format to differentiate between the paths then, like this: ![workBenchTestService.ts .../common < workBenchTestService.ts .../browser]( What do you think about this format? if you don't want to implement it and if that's ok for you, I'd like to give it a try.",2020-12-13T14:36:31Z,neutral
46,749635068,"I guess that's not a wish list here, but (extend diff editor with merge features) has no downvote and quite a big communityrequestlevel: ![grafik]( ",2020-12-22T16:27:42Z,sadness
47,750755396,"Thanks for the tip , I figured that adding the following to my keybindings.json worked: _EDIT: swapped the two keys, to be aligned with the default value (insert) of editor.suggest.insertMode_ json { ""key"": ""enter"", ""command"": ""acceptSelectedSuggestion"", // to insert ""when"": ""suggestWidgetVisible && textInputFocus"" }, { ""key"": ""tab"", ""command"": ""acceptAlternativeSelectedSuggestion"", // to replace ""when"": ""suggestWidgetVisible && textInputFocus"" }, ",2020-12-24T05:50:40Z,anger
48,750897544,Also microsoft/vscode Which subsequently causes xdebug/vscodephpdebug,2020-12-24T14:27:33Z,neutral
49,752194599,Edited to remove all snark Great job VS Code team!,2020-12-29T18:26:06Z,joy
51,754308276,It looks like this is caused by the Python extension. Please file it with the repository [here]( Make sure to check their issue reporting template and provide them relevant information such as the extension version you're using. See also our [issue reporting]( guidelines for more information. Happy Coding!,2021-01-05T00:28:40Z,joy
52,754314019,"(Experimental duplicate detection) Thanks for submitting this issue. Please also check if it is already covered by an existing one, like: [git push to a remote with an ssh password ()]( <! score: 0.501 <! potential_duplicates_comment ",2021-01-05T00:44:20Z,joy
53,754314023,Thank you as well for your continuous effort and assistance in pushing this PR forward!,2021-01-05T00:44:21Z,joy
55,754319670,Thanks for your reply. [profile.zip](,2021-01-05T01:03:07Z,joy
56,754320086,After a few lines of code I was able to convert char index to Position. But it would be good to have it in the API natively. What do you think?,2021-01-05T01:04:29Z,joy
57,754336449,"Also I believe any SCM view refresh will trigger this bug (possibly because it replaced the input box element with a new one), including stage/unstage files, clicking refresh button, etc ![GIF 202115 95748]( However, it behaves a little different on my machine, the SCM refresh cancels my text composition, but I can still input more Chinese to the input box. Version: 1.53.0insider (user setup) Commit: 98106c48a07d4d07f0f71b4db9b3ff156f223339 Date: 20210101T0515.141Z Electron: 11.1.0 Chrome: 87.0.4280.88 Node.js: 12.18.3 V8: 8.7.220.29electron.0 OS: Windows_NT x64 10.0.17763 ",2021-01-05T02:01:21Z,fear
