,Unnamed: 0,id,Text,created_at,Emotion
0,0,360769992,"Another example (I believe it is somehow related: ) dart import 'package:flutter/material.dart'; const Color grey = const Color.fromARGB(255, 100, 100, 100); const Color black = const Color.fromARGB(255, 0, 0, 0); void main() = runApp( new Container( color: grey, child: new Center( child: new Container( width: 151.0, height: 151.0, color: black, child: new Container( color: grey, ), ), ), ), ); <img src="" height=""450"" / We should not see border here. If widht/height are changed to 150.0, square is gone. ",2018-01-26T12:14:53Z,neutral
1,1,438905646,"i have done some things to solve this thing, may be you have better solution 。please check it when you have the time. i notice outerscrollcontrol will handle the pinned scroll extend, so i done some to fix it. ",2018-11-15T03:36:41Z,anger
2,2,445538255, Please consider asking support questions in one of the other channels listed at ,2018-12-09T13:26:29Z,anger
3,3,468059804,"[Here's a gist with the sample code using the current BottomNavigationBar]( Output on phone: <img src="" height=""550"" / Output on tablet: <img src="" height=""550"" / Here's what I'm proposing: <img src="" height=""550"" / Can also be set on the other side: <img src="" height=""550"" / ",2019-02-27T22:39:54Z,neutral
4,4,475237976," and hi! Try to remove all the ""Other Linker Flags"" within the Target (your Extension) in ""Build Settings"" (see screen). This caused the linker problems in my project. Removing them, solved it! You don't have to touch the Podfile at all. ![flutteriosextension]( ",2019-03-21T13:55:41Z,anger
5,5,480495816,"it seems that the button is hidden because Android did not get permission to use the current location for the device, you can include location package [ and call this method in initState() to get location permission popup dart getLocationPermission() async { var location = new Location(); try { location.requestPermission(); //to lunch location permission popup } on PlatformException catch (e) { if (e.code == 'PERMISSION_DENIED') { print('Permission denied'); } } }",2019-04-06T11:15:34Z,anger
6,6,495497806,I have the same problem. It shows black screen before rendering the website.,2019-05-24T07:06:45Z,neutral
7,7,496951536," <details <summarylogs</summary bash Terminating app due to uncaught exception 'NSInvalidArgumentException', reason: ' [__NSPlaceholderArray initWithObjects]: attempt to insert nil object from objects[0]' First throw call stack: (0x1b49bb3d 0x1a723067 0x1b3ae8cf 0x1b3b8a01 0x1438e5 0x144d0b 0x20b87bb1 0x26d96bbf 0x2e6ccd45 0x2e6cc7a3 0x2e6cc0bf 0x207023b5 0x20702349 0x206ec979 0x20701c85 0x207017cf 0x206fc70f 0x206ce2bb 0x20e617f7 0x20e5c19b 0x20e5c57d 0x1b457fdd 0x1b457b05 0x1b455f51 0x1b3a91af 0x1b3a8fd1 0x1cb53b41 0x20731a53 0x859a1 0x1ab964eb) </details ",2019-05-29T14:06:16Z,anger
8,8,497311174,"dart GoogleMap( onMapCreated: _onMapCreated, initialCameraPosition: CameraPosition( target: _center, zoom: 13.0, ), myLocationEnabled: true, onCameraMove: _onCameraMove, myLocationButtonEnabled: true, ), ",2019-05-30T12:22:39Z,fear
9,9,501799271,"same issue D/AndroidRuntime(30555): Shutting down VM E/AndroidRuntime(30555): FATAL EXCEPTION: main E/AndroidRuntime(30555): Process: com.example.TODOer, PID: 30555 E/AndroidRuntime(30555): java.lang.IllegalStateException: Reply already submitted E/AndroidRuntime(30555): at io.flutter.embedding.engine.dart.DartMessenger$Reply.reply(DartMessenger.java:124) E/AndroidRuntime(30555): at io.flutter.plugin.common.MethodChannel$IncomingMethodCallHandler$1.success(MethodChannel.java:204) E/AndroidRuntime(30555): at com.lyokone.location.LocationPlugin$2.onLocationResult(LocationPlugin.java:281) E/AndroidRuntime(30555): at com.google.android.gms.internal.location.zzau.notifyListener(Unknown Source:4) E/AndroidRuntime(30555): at com.google.android.gms.common.api.internal.ListenerHolder.notifyListenerInternal(Unknown Source:17) E/AndroidRuntime(30555): at com.google.android.gms.common.api.internal.ListenerHolder$zaa.handleMessage(Unknown Source:5) E/AndroidRuntime(30555): at android.os.Handler.dispatchMessage(Handler.java:105) E/AndroidRuntime(30555): at android.os.Looper.loop(Looper.java:164) E/AndroidRuntime(30555): at android.app.ActivityThread.main(ActivityThread.java:6944) E/AndroidRuntime(30555): at java.lang.reflect.Method.invoke(Native Method) E/AndroidRuntime(30555): at com.android.internal.os.Zygote$MethodAndArgsCaller.run(Zygote.java:327) E/AndroidRuntime(30555): at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:1374) I/zygote64(30555): Background concurrent copying GC freed 11907(1065KB) AllocSpace objects, 0(0B) LOS objects, 65% free, 815KB/2MB, paused 11.645ms total 46.643ms",2019-06-13T17:22:03Z,fear
